Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
20/09/1997,08:43:41,"3.4",19.27,-99.17,"7","3 km al OESTE de XOCHIMILCO, CDMX",20/09/1997,13:43:41,revisado
08/02/1998,19:14:32,"2.6",19.36,-99.19,"11","3 km al NOROESTE de COYOACAN, CDMX",09/02/1998,01:14:32,revisado
18/08/1998,11:27:33,"2.9",19.18,-98.95,"10","5 km al SURESTE de S ANDRES MIXQUIC, CDMX",18/08/1998,16:27:33,revisado
18/08/1998,13:52:49,"2.9",19.19,-98.99,"3","3 km al SUR de S ANTONIO TECOMITL, CDMX",18/08/1998,18:52:49,revisado
08/09/1998,17:19:57,"3.2",19.46,-99.05,"5","7 km al SURESTE de GUSTAVO A. MADERO, CDMX",08/09/1998,22:19:57,revisado
25/09/1998,20:01:40,"2.3",19.4,-99.06,"13","4 km al ESTE de IZTACALCO, CDMX",26/09/1998,01:01:40,revisado
28/01/1999,17:56:13,"2.7",19.44,-99.21,"9","4 km al NOROESTE de MIGUEL HIDALGO, CDMX",28/01/1999,23:56:13,revisado
06/04/1999,07:20:04,"2.8",19.38,-99.09,"13","2 km al SURESTE de IZTACALCO, CDMX",06/04/1999,12:20:04,revisado
19/05/1999,15:23:06,"3.1",19.19,-98.96,"5","4 km al SUR de S ANDRES MIXQUIC, CDMX",19/05/1999,20:23:06,revisado
22/05/1999,01:57:26,"3.1",19.18,-98.97,"4","5 km al SURESTE de S ANTONIO TECOMITL, CDMX",22/05/1999,06:57:26,revisado
28/05/1999,12:05:21,"2.6",19.28,-98.98,"3","4 km al NORESTE de S JUAN IXTAYOPAN, CDMX",28/05/1999,17:05:21,revisado
06/06/1999,19:24:14,"3.3",19.17,-98.96,"5","6 km al SUR de S ANDRES MIXQUIC, CDMX",07/06/1999,00:24:14,revisado
25/07/1999,09:26:01,"3.6",19.19,-98.96,"2","4 km al SUR de S ANDRES MIXQUIC, CDMX",25/07/1999,14:26:01,revisado
07/08/1999,08:49:53,"3.2",19.17,-98.97,"16","6 km al SURESTE de S ANTONIO TECOMITL, CDMX",07/08/1999,13:49:53,revisado
15/12/1999,22:25:07,"2.6",19.28,-99.2,"20","4 km al SURESTE de TLALPAN, CDMX",16/12/1999,04:25:07,revisado
15/12/1999,22:26:32,"3",19.27,-99.14,"36","1 km al SUR de XOCHIMILCO, CDMX",16/12/1999,04:26:32,revisado
15/12/1999,22:31:04,"2.4",19.27,-99.21,"9","5 km al SURESTE de TLALPAN, CDMX",16/12/1999,04:31:04,revisado
10/04/2000,02:53:23,"2.6",19.22,-98.99,"14","menos de 1 km al NOROESTE de S ANTONIO TECOMITL, CDMX",10/04/2000,07:53:23,revisado
06/07/2000,08:15:34,"3.4",19.19,-98.96,"5","4 km al SUR de S ANDRES MIXQUIC, CDMX",06/07/2000,13:15:34,revisado
13/10/2000,21:44:48,"3.1",19.36,-99.19,"12","3 km al NOROESTE de COYOACAN, CDMX",14/10/2000,02:44:48,revisado
15/10/2000,02:50:43,"2.7",19.39,-99.11,"5","1 km al SUROESTE de IZTACALCO, CDMX",15/10/2000,07:50:43,revisado
16/04/2001,23:14:35,"3.1",19.19,-98.97,"14","4 km al SURESTE de S ANTONIO TECOMITL, CDMX",17/04/2001,05:14:35,revisado
14/09/2001,12:13:15,"2.9",19.31,-99.3,"14","3 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",14/09/2001,17:13:15,revisado
08/01/2003,15:27:22,"3",19.18,-98.97,"13","5 km al SURESTE de S ANTONIO TECOMITL, CDMX",08/01/2003,21:27:22,revisado
17/05/2003,01:31:58,"3.1",19.4,-99.12,"18","2 km al SUROESTE de VENUSTIANO CARRANZA, CDMX",17/05/2003,06:31:58,revisado
25/09/2003,20:53:36,"2.9",19.47,-99.07,"8","5 km al SURESTE de GUSTAVO A. MADERO, CDMX",26/09/2003,01:53:36,revisado
25/09/2003,22:17:43,"2.9",19.49,-99.08,"4","4 km al ESTE de GUSTAVO A. MADERO, CDMX",26/09/2003,03:17:43,revisado
10/11/2003,22:53:42,"3.1",19.16,-98.98,"32","6 km al SURESTE de MILPA ALTA, CDMX",11/11/2003,04:53:42,revisado
11/11/2003,02:43:56,"3.3",19.21,-98.95,"12","2 km al SURESTE de S ANDRES MIXQUIC, CDMX",11/11/2003,08:43:56,revisado
15/11/2003,21:17:13,"4",19.18,-98.97,"7","5 km al SURESTE de S ANTONIO TECOMITL, CDMX",16/11/2003,03:17:13,revisado
15/11/2003,23:04:20,"3.2",19.18,-98.97,"15","5 km al SURESTE de S ANTONIO TECOMITL, CDMX",16/11/2003,05:04:20,revisado
21/11/2003,23:53:42,"3.1",19.48,-99.08,"7","3 km al ESTE de GUSTAVO A. MADERO, CDMX",22/11/2003,05:53:42,revisado
25/11/2003,23:04:26,"3.6",19.19,-98.97,"4","4 km al SURESTE de S ANTONIO TECOMITL, CDMX",26/11/2003,05:04:26,revisado
07/01/2004,20:28:52,"3.3",19.13,-98.97,"2","9 km al SURESTE de MILPA ALTA, CDMX",08/01/2004,02:28:52,revisado
13/09/2004,15:58:34,"3.1",19.42,-99.17,"11","2 km al NOROESTE de BENITO JUAREZ, CDMX",13/09/2004,20:58:34,revisado
11/12/2004,00:18:02,"3.2",19.38,-99.29,"2","1 km al NOROESTE de CUAJIMALPA, CDMX",11/12/2004,06:18:02,revisado
14/12/2004,11:47:34,"3.3",19.18,-98.98,"27","4 km al SUR de S ANTONIO TECOMITL, CDMX",14/12/2004,17:47:34,revisado
16/04/2005,18:04:07,"3.4",19.41,-99.07,"19","3 km al NORESTE de IZTACALCO, CDMX",16/04/2005,23:04:07,revisado
12/05/2005,03:06:25,"3.4",19.2,-98.97,"37","3 km al SURESTE de S ANTONIO TECOMITL, CDMX",12/05/2005,08:06:25,revisado
23/08/2005,02:19:44,"3.4",19.16,-99.14,"4","4 km al SUR de S MIGUEL TOPILEJO, CDMX",23/08/2005,07:19:44,revisado
16/10/2005,02:04:02,"3.1",19.35,-99.09,"5","1 km al SURESTE de IZTAPALAPA, CDMX",16/10/2005,07:04:02,revisado
16/10/2005,09:12:36,"3.5",19.3,-99.2,"14","3 km al SURESTE de TLALPAN, CDMX",16/10/2005,14:12:36,revisado
16/10/2005,09:35:09,"3.2",19.31,-99.14,"14","4 km al NORTE de XOCHIMILCO, CDMX",16/10/2005,14:35:09,revisado
11/03/2006,19:41:32,"3.6",19.17,-98.95,"2","6 km al SUR de S ANDRES MIXQUIC, CDMX",12/03/2006,01:41:32,revisado
11/03/2006,19:47:21,"3.4",19.18,-98.96,"5","5 km al SUR de S ANDRES MIXQUIC, CDMX",12/03/2006,01:47:21,revisado
05/05/2006,10:24:06,"3.5",19.17,-98.95,"1","6 km al SUR de S ANDRES MIXQUIC, CDMX",05/05/2006,15:24:06,revisado
28/07/2006,10:37:14,"3.5",19.51,-99.06,"5","6 km al NORESTE de GUSTAVO A. MADERO, CDMX",28/07/2006,15:37:14,revisado
25/01/2007,08:38:22,"3.7",19.18,-99.16,"30","3 km al SUROESTE de S MIGUEL TOPILEJO, CDMX",25/01/2007,14:38:22,revisado
23/11/2008,04:03:23,"2.2",19.35,-99.25,"12","4 km al NOROESTE de LA MAGDALENA C, CDMX",23/11/2008,10:03:23,verificado
23/11/2008,04:11:53,"2.5",19.34,-99.24,"11","3 km al NOROESTE de LA MAGDALENA C, CDMX",23/11/2008,10:11:53,verificado
23/11/2008,04:52:39,"1.6",19.34,-99.24,"9","3 km al NOROESTE de LA MAGDALENA C, CDMX",23/11/2008,10:52:39,verificado
11/07/2009,16:29:33,"2.9",19.34,-99.15,"8","2 km al SURESTE de COYOACAN, CDMX",11/07/2009,21:29:33,revisado
26/10/2009,17:45:13,"3",19.24,-99.18,"9","4 km al NORESTE de S MIGUEL AJUSCO, CDMX",26/10/2009,23:45:13,revisado
11/02/2010,04:04:03,"2.6",19.28,-99.16,"12","2 km al OESTE de XOCHIMILCO, CDMX",11/02/2010,10:04:03,revisado
24/06/2010,10:36:17,"3.1",19.38,-99.15,"14","3 km al SURESTE de BENITO JUAREZ, CDMX",24/06/2010,15:36:17,revisado
05/07/2010,12:22:22,"3.2",19.2,-98.95,"5","3 km al SURESTE de S ANDRES MIXQUIC, CDMX",05/07/2010,17:22:22,revisado
